,MethodA,MethodB,ReferenceCount
0,org.mybatis.jpetstore.domain.LineItem.getUnitPrice,org.mybatis.jpetstore.domain.LineItem.unitPrice,1
0,org.mybatis.jpetstore.domain.LineItem.lambda$calculateTotal$0,org.mybatis.jpetstore.domain.LineItem.quantity,1
0,org.mybatis.jpetstore.domain.LineItem.setItem,org.mybatis.jpetstore.domain.LineItem.calculateTotal,1
0,org.mybatis.jpetstore.domain.LineItem.setItem,org.mybatis.jpetstore.domain.LineItem.item,1
0,org.mybatis.jpetstore.domain.LineItem.setItemId,org.mybatis.jpetstore.domain.LineItem.itemId,1
0,org.mybatis.jpetstore.domain.LineItem.setLineNumber,org.mybatis.jpetstore.domain.LineItem.lineNumber,1
0,org.mybatis.jpetstore.domain.LineItem.setOrderId,org.mybatis.jpetstore.domain.LineItem.orderId,1
0,org.mybatis.jpetstore.domain.LineItem.setQuantity,org.mybatis.jpetstore.domain.LineItem.calculateTotal,1
0,org.mybatis.jpetstore.domain.LineItem.setQuantity,org.mybatis.jpetstore.domain.LineItem.quantity,1
0,org.mybatis.jpetstore.domain.LineItem.setUnitPrice,org.mybatis.jpetstore.domain.LineItem.unitPrice,1
0,org.mybatis.jpetstore.domain.Order.Order,org.mybatis.jpetstore.domain.Order.lineItems,1
0,org.mybatis.jpetstore.domain.Order.addLineItem,org.mybatis.jpetstore.domain.LineItem.LineItem,1
0,org.mybatis.jpetstore.domain.Order.addLineItem,org.mybatis.jpetstore.domain.Order.lineItems,2
0,org.mybatis.jpetstore.domain.Order.getBillAddress1,org.mybatis.jpetstore.domain.Order.billAddress1,1
0,org.mybatis.jpetstore.domain.Order.getBillAddress2,org.mybatis.jpetstore.domain.Order.billAddress2,1
0,org.mybatis.jpetstore.domain.Order.getBillCity,org.mybatis.jpetstore.domain.Order.billCity,1
0,org.mybatis.jpetstore.domain.Order.getBillCountry,org.mybatis.jpetstore.domain.Order.billCountry,1
0,org.mybatis.jpetstore.domain.Order.getBillState,org.mybatis.jpetstore.domain.Order.billState,1
0,org.mybatis.jpetstore.domain.Order.getBillToFirstName,org.mybatis.jpetstore.domain.Order.billToFirstName,1
0,org.mybatis.jpetstore.domain.Order.getBillToLastName,org.mybatis.jpetstore.domain.Order.billToLastName,1
0,org.mybatis.jpetstore.domain.Order.getBillZip,org.mybatis.jpetstore.domain.Order.billZip,1
0,org.mybatis.jpetstore.domain.Order.getCardType,org.mybatis.jpetstore.domain.Order.cardType,1
0,org.mybatis.jpetstore.domain.Order.getCourier,org.mybatis.jpetstore.domain.Order.courier,1
0,org.mybatis.jpetstore.domain.Order.getCreditCard,org.mybatis.jpetstore.domain.Order.creditCard,1
0,org.mybatis.jpetstore.domain.Order.getExpiryDate,org.mybatis.jpetstore.domain.Order.expiryDate,1
0,org.mybatis.jpetstore.domain.Order.getLineItems,org.mybatis.jpetstore.domain.Order.lineItems,1
