,MethodA,MethodB,ReferenceCount
0,smpl.ordering.controllers.ShipmentController.getDeliveries,smpl.ordering.controllers.ShipmentController.getQuoteRepository,1
0,smpl.ordering.controllers.ShipmentController.getDeliveries,smpl.ordering.controllers.ShipmentController.getShipmentRepository,1
0,smpl.ordering.controllers.ShipmentController.getDeliveries,smpl.ordering.models.Delivery.Delivery,1
0,smpl.ordering.controllers.ShipmentController.getDeliveries,smpl.ordering.models.Delivery.setOrder,1
0,smpl.ordering.controllers.ShipmentController.getDeliveries,smpl.ordering.models.Delivery.setQuote,1
0,smpl.ordering.controllers.ShipmentController.getDeliveries,smpl.ordering.models.Delivery.setShipmentRecord,1
0,smpl.ordering.controllers.ShipmentController.getDeliveries,smpl.ordering.models.Order.getQuoteId,1
0,smpl.ordering.controllers.ShipmentController.getDeliveries,smpl.ordering.models.OrderStatus.DeliveryConfirmed,1
0,smpl.ordering.controllers.ShipmentController.getDeliveries,smpl.ordering.models.ShipmentRecord.getOrderId,1
0,smpl.ordering.controllers.ShipmentController.getDeliveries,smpl.ordering.repositories.OrderRepository.getOrder,1
0,smpl.ordering.controllers.ShipmentController.getDeliveries,smpl.ordering.repositories.QuoteRepository.getQuote,1
0,smpl.ordering.controllers.ShipmentController.getDeliveries,smpl.ordering.repositories.ShipmentRepository.getShipments,1
0,smpl.ordering.controllers.ShipmentController.getOrderRepository,smpl.ordering.repositories.RepositoryFactory.getOrderRepository,1
0,smpl.ordering.controllers.ShipmentController.getQuoteRepository,smpl.ordering.repositories.RepositoryFactory.getQuoteRepository,1
0,smpl.ordering.controllers.ShipmentController.getShipment,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.ShipmentController.getShipment,smpl.ordering.controllers.ShipmentController.getShipmentRepository,1
0,smpl.ordering.controllers.ShipmentController.getShipment,smpl.ordering.repositories.ShipmentRepository.getShipmentById,1
0,smpl.ordering.controllers.ShipmentController.getShipmentRepository,smpl.ordering.repositories.RepositoryFactory.getShipmentRepository,1
0,smpl.ordering.controllers.ShipmentController.getShipments,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.ShipmentController.getShipments,smpl.ordering.controllers.ShipmentController.getShipmentRepository,1
0,smpl.ordering.controllers.ShipmentController.getShipments,smpl.ordering.repositories.ShipmentRepository.getShipments,1
0,smpl.ordering.controllers.ShipmentController.updateShipment,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.ShipmentController.updateShipment,smpl.ordering.controllers.ShipmentController.getShipmentRepository,1
0,smpl.ordering.controllers.ShipmentController.updateShipment,smpl.ordering.models.ShipmentRecord.getOrderId,1
0,smpl.ordering.controllers.ShipmentController.updateShipment,smpl.ordering.models.ShipmentRecord.validate,1
0,smpl.ordering.controllers.ShipmentController.updateShipment,smpl.ordering.repositories.ShipmentRepository.getShipmentById,1
0,smpl.ordering.controllers.ShipmentController.updateShipment,smpl.ordering.repositories.ShipmentRepository.updateShipment,1
0,smpl.ordering.models.CatalogItem.CatalogItem,smpl.ordering.models.CatalogItem.description,2
0,smpl.ordering.models.CatalogItem.CatalogItem,smpl.ordering.models.CatalogItem.inventory,2
0,smpl.ordering.models.CatalogItem.CatalogItem,smpl.ordering.models.CatalogItem.leadTime,2
0,smpl.ordering.models.CatalogItem.CatalogItem,smpl.ordering.models.CatalogItem.price,2
0,smpl.ordering.models.CatalogItem.CatalogItem,smpl.ordering.models.CatalogItem.skuNumber,2
0,smpl.ordering.models.CatalogItem.CatalogItem,smpl.ordering.models.CatalogItem.getDescription,1
0,smpl.ordering.models.CatalogItem.CatalogItem,smpl.ordering.models.CatalogItem.getInventory,1
0,smpl.ordering.models.CatalogItem.CatalogItem,smpl.ordering.models.CatalogItem.getLeadTime,1
0,smpl.ordering.models.CatalogItem.CatalogItem,smpl.ordering.models.CatalogItem.getPrice,1
0,smpl.ordering.models.CatalogItem.CatalogItem,smpl.ordering.models.CatalogItem.getSkuNumber,1
0,smpl.ordering.models.CatalogItem.getDescription,smpl.ordering.models.CatalogItem.description,1
0,smpl.ordering.models.CatalogItem.getInventory,smpl.ordering.models.CatalogItem.inventory,1
0,smpl.ordering.models.CatalogItem.getLeadTime,smpl.ordering.models.CatalogItem.leadTime,1
0,smpl.ordering.models.CatalogItem.getPrice,smpl.ordering.models.CatalogItem.price,1
0,smpl.ordering.models.CatalogItem.getSkuNumber,smpl.ordering.models.CatalogItem.skuNumber,1
0,smpl.ordering.models.CatalogItem.setDescription,smpl.ordering.models.CatalogItem.description,1
0,smpl.ordering.models.CatalogItem.setInventory,smpl.ordering.models.CatalogItem.inventory,1
0,smpl.ordering.models.CatalogItem.setLeadTime,smpl.ordering.models.CatalogItem.leadTime,1
0,smpl.ordering.models.CatalogItem.setPrice,smpl.ordering.models.CatalogItem.price,1
0,smpl.ordering.models.CatalogItem.setSkuNumber,smpl.ordering.models.CatalogItem.skuNumber,1
0,smpl.ordering.models.CatalogItem.validate,smpl.ordering.Utility.validateStringField,1
0,smpl.ordering.models.CatalogItem.validate,smpl.ordering.models.CatalogItem.description,1
0,smpl.ordering.models.CatalogItem.validate,smpl.ordering.models.CatalogItem.skuNumber,1
0,smpl.ordering.models.DealerInfo.DealerInfo,smpl.ordering.models.DealerInfo.name,2
0,smpl.ordering.models.DealerInfo.DealerInfo,smpl.ordering.models.DealerInfo.address,1
0,smpl.ordering.models.DealerInfo.DealerInfo,smpl.ordering.models.DealerInfo.contact,1
0,smpl.ordering.models.DealerInfo.DealerInfo,smpl.ordering.models.DealerInfo.email,1
0,smpl.ordering.models.DealerInfo.DealerInfo,smpl.ordering.models.DealerInfo.phone,1
0,smpl.ordering.models.DealerInfo.getAddress,smpl.ordering.models.DealerInfo.address,1
0,smpl.ordering.models.DealerInfo.getContact,smpl.ordering.models.DealerInfo.contact,1
0,smpl.ordering.models.DealerInfo.getEmail,smpl.ordering.models.DealerInfo.email,1
0,smpl.ordering.models.DealerInfo.getName,smpl.ordering.models.DealerInfo.name,1
0,smpl.ordering.models.DealerInfo.getPhone,smpl.ordering.models.DealerInfo.phone,1
0,smpl.ordering.models.DealerInfo.setAddress,smpl.ordering.models.DealerInfo.address,1
0,smpl.ordering.models.DealerInfo.setContact,smpl.ordering.models.DealerInfo.contact,1
0,smpl.ordering.models.DealerInfo.setEmail,smpl.ordering.models.DealerInfo.email,1
0,smpl.ordering.models.DealerInfo.setName,smpl.ordering.models.DealerInfo.name,1
0,smpl.ordering.models.DealerInfo.setPhone,smpl.ordering.models.DealerInfo.phone,1
0,smpl.ordering.models.DealerInfo.validate,smpl.ordering.Utility.validateStringField,1
0,smpl.ordering.models.DealerInfo.validate,smpl.ordering.models.DealerInfo.name,1
0,smpl.ordering.models.Delivery.getOrder,smpl.ordering.models.Delivery.order,1
0,smpl.ordering.models.Delivery.getQuote,smpl.ordering.models.Delivery.quote,1
0,smpl.ordering.models.Delivery.getShipmentRecord,smpl.ordering.models.Delivery.shipmentRecord,1
0,smpl.ordering.models.Delivery.setOrder,smpl.ordering.models.Delivery.order,1
0,smpl.ordering.models.Delivery.setQuote,smpl.ordering.models.Delivery.quote,1
0,smpl.ordering.models.Delivery.setShipmentRecord,smpl.ordering.models.Delivery.shipmentRecord,1
0,smpl.ordering.models.DeliveryAddress.DeliveryAddress,smpl.ordering.models.DeliveryAddress.city,1
0,smpl.ordering.models.DeliveryAddress.DeliveryAddress,smpl.ordering.models.DeliveryAddress.postalCode,1
0,smpl.ordering.models.DeliveryAddress.DeliveryAddress,smpl.ordering.models.DeliveryAddress.specialInstructions,1
0,smpl.ordering.models.DeliveryAddress.DeliveryAddress,smpl.ordering.models.DeliveryAddress.state,1
0,smpl.ordering.models.DeliveryAddress.DeliveryAddress,smpl.ordering.models.DeliveryAddress.street,1
0,smpl.ordering.models.DeliveryAddress.getCity,smpl.ordering.models.DeliveryAddress.city,1
0,smpl.ordering.models.DeliveryAddress.getPostalCode,smpl.ordering.models.DeliveryAddress.postalCode,1
0,smpl.ordering.models.DeliveryAddress.getSpecialInstructions,smpl.ordering.models.DeliveryAddress.specialInstructions,1
0,smpl.ordering.models.DeliveryAddress.getState,smpl.ordering.models.DeliveryAddress.state,1
0,smpl.ordering.models.DeliveryAddress.getStreet,smpl.ordering.models.DeliveryAddress.street,1
0,smpl.ordering.models.DeliveryAddress.setCity,smpl.ordering.models.DeliveryAddress.city,1
0,smpl.ordering.models.DeliveryAddress.setPostalCode,smpl.ordering.models.DeliveryAddress.postalCode,1
0,smpl.ordering.models.DeliveryAddress.setSpecialInstructions,smpl.ordering.models.DeliveryAddress.specialInstructions,1
0,smpl.ordering.models.DeliveryAddress.setState,smpl.ordering.models.DeliveryAddress.state,1
0,smpl.ordering.models.DeliveryAddress.setStreet,smpl.ordering.models.DeliveryAddress.street,1
0,smpl.ordering.models.DeliveryAddress.validate,smpl.ordering.models.DeliveryAddress.city,1
0,smpl.ordering.models.DeliveryAddress.validate,smpl.ordering.models.DeliveryAddress.isNotEmpty,1
0,smpl.ordering.models.DeliveryAddress.validate,smpl.ordering.models.DeliveryAddress.postalCode,1
